"age","job","marital","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","y","edu"
56,"housemaid","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
57,"services","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
37,"services","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
40,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
56,"services","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
45,"services","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
59,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
41,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
24,"technician","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
25,"services","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
41,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
25,"services","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
29,"blue-collar","single","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
57,"housemaid","divorced","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
35,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
54,"retired","married","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","9"
35,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
46,"blue-collar","married","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","6"
50,"blue-collar","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","9"
39,"management","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
30,"unemployed","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
55,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
55,"retired","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
41,"technician","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
37,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
35,"technician","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
59,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
39,"self-employed","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
54,"technician","single","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","university.degree"
55,"unknown","married","unknown","unknown","unknown","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
46,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
59,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
49,"blue-collar","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
54,"management","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
54,"blue-collar","divorced","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
55,"unknown","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
34,"services","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
52,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
41,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
56,"technician","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","4"
58,"management","unknown","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
32,"entrepreneur","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
38,"admin.","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
57,"admin.","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
44,"admin.","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
42,"technician","single","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
57,"admin.","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
40,"blue-collar","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","9"
35,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
45,"blue-collar","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
54,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
39,"housemaid","married","no","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","4"
60,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
53,"admin.","single","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
55,"blue-collar","married","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent","0","4"
55,"technician","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
50,"management","married","unknown","no","yes","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
45,"services","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
55,"unemployed","married","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","professional.course"
25,"technician","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
47,"entrepreneur","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
51,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
42,"blue-collar","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
42,"blue-collar","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
48,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","high.school"
37,"admin.","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
44,"blue-collar","single","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","9"
33,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
56,"admin.","married","no","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","9"
44,"blue-collar","single","unknown","yes","yes","telephone","may","mon",1,999,0,"nonexistent","0","4"
41,"management","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","6"
44,"management","divorced","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
47,"admin.","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
57,"unknown","married","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent","0","unknown"
37,"admin.","married","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
41,"blue-collar","divorced","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent","1","4"
55,"technician","married","no","no","no","telephone","may","mon",1,999,0,"nonexistent","0","university.degree"
33,"services","married","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent","0","high.school"
