"id","age","job","marital","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","edu"
1,21,"student","single","no","yes","yes","cellular","may","mon",2,999,0,"nonexistent","unknown"
2,59,"housemaid","married","no","no","no","cellular","may","mon",2,999,0,"nonexistent","professional.course"
3,46,"technician","married","no","no","no","cellular","may","mon",5,3,1,"success","high.school"
4,36,"entrepreneur","married","no","no","no","telephone","may","mon",4,999,0,"nonexistent","university.degree"
5,33,"technician","married","no","yes","no","telephone","may","mon",3,999,0,"nonexistent","professional.course"
6,39,"admin.","married","no","yes","no","cellular","may","mon",3,999,0,"nonexistent","high.school"
7,42,"services","married","no","no","no","cellular","may","mon",2,999,0,"nonexistent","high.school"
8,31,"admin.","single","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
9,30,"admin.","single","no","yes","no","cellular","may","mon",4,999,1,"failure","university.degree"
10,35,"admin.","single","no","yes","yes","cellular","may","mon",1,999,1,"failure","high.school"
11,44,"entrepreneur","single","no","no","no","cellular","may","mon",1,999,0,"nonexistent","professional.course"
12,60,"management","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","university.degree"
13,35,"services","married","no","no","no","cellular","may","mon",2,3,2,"success","6"
14,28,"self-employed","single","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
15,60,"blue-collar","married","no","yes","no","cellular","may","mon",1,999,1,"failure","9"
16,36,"management","married","no","yes","no","cellular","may","mon",1,999,1,"failure","university.degree"
17,60,"admin.","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","university.degree"
18,31,"admin.","divorced","no","no","no","cellular","may","mon",1,999,1,"failure","university.degree"
19,26,"services","single","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","high.school"
20,30,"unknown","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","professional.course"
21,49,"admin.","married","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent","university.degree"
22,58,"retired","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
23,30,"management","single","no","yes","yes","cellular","may","mon",1,999,0,"nonexistent","university.degree"
24,31,"admin.","divorced","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
25,81,"retired","married","no","no","no","cellular","may","mon",2,999,1,"failure","9"
26,39,"admin.","married","no","no","no","cellular","may","mon",1,999,0,"nonexistent","high.school"
27,41,"technician","married","no","yes","yes","cellular","may","mon",1,3,2,"success","unknown"
28,30,"unemployed","married","no","no","no","cellular","may","mon",1,3,1,"success","high.school"
29,39,"admin.","married","no","yes","no","cellular","may","mon",3,3,1,"success","high.school"
30,35,"services","married","no","yes","no","cellular","may","mon",1,999,1,"failure","6"
31,36,"admin.","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","high.school"
32,65,"management","married","no","no","no","telephone","may","mon",3,6,1,"success","university.degree"
33,28,"admin.","married","no","yes","no","cellular","may","mon",1,999,0,"nonexistent","university.degree"
34,36,"blue-collar","married","no","yes","no","telephone","may","mon",1,999,0,"nonexistent","9"
35,34,"services","married","no","yes","yes","cellular","may","mon",3,999,0,"nonexistent","professional.course"
36,36,"unemployed","single","no","yes","no","cellular","may","mon",4,999,0,"nonexistent","university.degree"
37,50,"blue-collar","married","no","yes","no","cellular","may","mon",3,3,1,"success","6"
38,35,"services","married","no","no","no","cellular","may","mon",1,3,1,"success","6"
39,26,"student","single","no","no","yes","cellular","may","mon",2,999,0,"nonexistent","university.degree"
40,52,"admin.","single","no","no","no","cellular","may","mon",3,999,0,"nonexistent","high.school"
41,34,"services","married","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","professional.course"
42,25,"technician","unknown","no","yes","no","cellular","may","mon",2,999,0,"nonexistent","university.degree"
